gene,temperature,n,score_combined,max_combined,min_combined
brl1,23,7,4.58764814333427,6.141855778505054,2.6526185912662386
brl1,27,13,2.8084411719451263,6.141855778505054,2.6526185912662386
brl1,30,14,2.6526185912662386,6.141855778505054,2.6526185912662386
brl1,33,14,6.141855778505054,6.141855778505054,2.6526185912662386
cak1,23,1,0.23966276287007043,0.23966276287007043,0.23966276287007043
cbf2,23,4,-1.619077905654534,-1.619077905654534,-10.041109643624099
cbf2,27,4,-4.518763163125073,-1.619077905654534,-10.041109643624099
cbf2,30,3,-5.00846248903228,-1.619077905654534,-10.041109643624099
cbf2,33,2,-10.041109643624099,-1.619077905654534,-10.041109643624099
ccl1,23,1,-0.13936065235176934,0.7669420484481295,-11.39475904622525
ccl1,27,1,0.7669420484481295,0.7669420484481295,-11.39475904622525
ccl1,30,1,-0.11502057021258487,0.7669420484481295,-11.39475904622525
ccl1,33,1,-11.39475904622525,0.7669420484481295,-11.39475904622525
cct6,27,4,4.838194915088478,4.838194915088478,2.180115098875346
cct6,30,4,2.180115098875346,4.838194915088478,2.180115098875346
cct6,33,4,3.4064501418928623,4.838194915088478,2.180115098875346
cdc1,23,3,-2.039037989091971,-0.5677154495578136,-4.3645457616904375
cdc1,27,1,-0.5677154495578136,-0.5677154495578136,-4.3645457616904375
cdc1,30,1,-4.3645457616904375,-0.5677154495578136,-4.3645457616904375
cdc10,23,3,-1.5743132665865471,-1.5743132665865471,-9.563984246433522
cdc10,27,3,-2.457728890668834,-1.5743132665865471,-9.563984246433522
