strain_id,strain_name,temperature,size,control_size,log2_ratio,z
TS-2F17,mob2-11,30,0.35959742727600574,0.6226229867079688,-0.7918066940299703,-1.324683071745708
TS-1B6,kog1-1,23,0.5700156719637597,0.8503880245321543,-0.5770362614768852,-1.3166792923722461
TS-2C13,cdc46-1,23,0.8017417424448381,1.1934503040068587,-0.5738699436187945,-1.3088404722882643
TS-1L2,dpb2-1,30,0.37976680398984647,0.6538083058862904,-0.783594705907531,-1.3083257990341677
TS-3F20,ctf8-162,23,0.5300313303173323,0.7886118196760123,-0.5731484579433422,-1.3070542977295132
TS-1F5,act1-122,27,0.6321177305556129,0.9109673884673756,-0.5271362728654235,-1.3053045106542063
TS-5N12,rrp5-delta6,27,0.49033202824417205,0.706142452092325,-0.5261103448011056,-1.3021851811716865
TS-3L16,cdc11-1,23,0.8237558818280918,1.222847931842339,-0.5698990889871035,-1.2990098689083998
TS-3F5,act1-122,27,0.7645234465689521,1.0988335128641675,-0.5232827586426766,-1.2935879186782226
TS-3J2,myo2-16,23,0.9626608655374288,1.4264789858525655,-0.5673102220756139,-1.2926006381078072
TS-3N23,spc110-221,30,0.6046093743977088,1.0309700524155352,-0.7698285054640791,-1.2809052168928015
TS-3E10,cdc47-ts,23,1.0369136206109473,1.5292416662540997,-0.5604759081717217,-1.2756809984850277
TS-3C6,mcm2-1,23,0.8006403567716488,1.1796624361592363,-0.5590899553509308,-1.2722498095475978
TS-2I11,nnf1-17,30,0.6136140673127644,1.0431729740017954,-0.7654781328037438,-1.272239808353365
TS-3K6,dbf2-2,30,0.3558412071572403,0.6038569364654907,-0.7628067230173866,-1.266918687846588
TS-2I14,pkc1-ts,27,0.8424050860438445,1.2031508881082307,-0.5141801874324017,-1.2659115934752236
TS-1D5,gaa1-ts,27,0.8556835232883574,1.2220015413427079,-0.5140463524296826,-1.2655046687752425
TS-1M11,cdc10-1,27,0.698100318649618,0.9965694756107202,-0.5134741292686352,-1.2637648269296815
TS-3C23,bet1-1,30,0.4045656281784997,0.684934376863283,-0.7594460748034095,-1.2602246889630089
TS-3L16,cdc11-1,27,0.8764380368034174,1.24990217661805,-0.5120420047643143,-1.2594104590706277
TS-3K15,rho3-ser228,23,0.83056519867163,1.2183656970273082,-0.5527266179853166,-1.256496161626474
TS-2M13,gpi2-774,27,0.5814281197753136,0.8278306452664398,-0.5096609651320985,-1.2521709192021508
TS-2B22,pse1-41,27,0.876064591980115,1.2471019343356435,-0.5094212526757739,-1.2514420745995445
TS-1F21,okp1-5,27,0.5464561327704515,0.7776244807389854,-0.50888947964856,-1.2498252211967675
TS-1F9,cbf2-2,27,0.5590879040570844,0.7952419029929862,-0.5082420283221573,-1.2478566484661955
TS-1J2,myo2-16,23,0.8491734678482974,1.2423430476075241,-0.5488786370053729,-1.2469697552641792
TS-5C14,yip1-4,33,0.5144867257732036,0.7860397406303272,-0.6113715402607053,-1.2454757001518717
TS-2D17,prp9-1,23,0.9743216269046513,1.424281111609852,-0.5477171509324393,-1.2440942763123386
TS-3F9,cbf2-2,27,0.7175047222982982,1.0194649667826243,-0.5066924176994939,-1.2431450646136637
TS-2J4,sec26-11d26,23,0.9871288335770829,1.442079168573752,-0.546793971973827,-1.2418087717969315
TS-1E3,cdc42-1,33,0.5026968176083676,0.767322305435163,-0.6100451796328749,-1.240300822763609
TS-1B19,gab1-3,23,0.46485462694725666,0.6780950882173021,-0.5446103994977669,-1.2364029242012984
TS-2O9,spc25-1,27,0.840457173247938,1.1921772243847986,-0.5043018679803863,-1.2358766093704598
TS-1G17,sec17-1,23,0.7687005430398435,1.1201171548212452,-0.543097166493863,-1.2326566290425744
TS-1J17,mak21-1,27,0.4518244801250526,0.6401314099988412,-0.5025117498686866,-1.230433763622079
TS-3F20,ctf8-162,30,0.6395664510852234,1.0706625013904358,-0.7432467965201139,-1.2279577143084848
TS-3O12,rpt6-25,27,0.7310558039208611,1.0323604865016331,-0.49783579728958105,-1.2162165516691477
TS-1D11,kar2-159,23,0.8343557169683815,1.2098250476060954,-0.5360102826897781,-1.215111704753197
TS-1E17,cdc9-1,30,0.7147345026595635,1.1910513951837778,-0.7366756159889066,-1.2148687289881073
TS-2J4,sec26-11d26,27,1.0107646267025874,1.4255567241089653,-0.49603683827149675,-1.210746825186243
TS-1D23,act1-132,23,0.4490707898830285,0.6502771703644181,-0.534012506012692,-1.2101658298784943
TS-3C22,sec16-2,23,0.8976409317456622,1.2988435017971427,-0.5329676012666279,-1.2075789701011772
TS-4L11,taf4-18,30,0.39749404318584286,0.6598924379122555,-0.7311533520103008,-1.2038690567362262
TS-2I5,dsn1-7,27,0.8022360653052518,1.1285589628022872,-0.49233107166408896,-1.199479459143859
TS-2K15,nsl1-6,30,0.5674144721460882,0.9390469745388382,-0.726693771370708,-1.1949861193021598
TS-3G19,mob2-36,23,0.7055096300362611,1.0129637924006667,-0.5217828673929664,-1.1798890411514293
TS-2E17,cdc20-2,33,0.9546033631202346,1.4411679769661565,-0.5942141561527501,-1.1785351131056259
TS-1H20,cdc4-3,30,0.5441660236708392,0.894799312592249,-0.7174133929525706,-1.1765007442153437
TS-2E2,mge1-100,23,0.8445849298253892,1.2111500503140642,-0.5200115085783875,-1.1755037066164966
TS-3J3,dam1-5,27,0.6749100843471265,0.9435404069442538,-0.48332814096267684,-1.1721060904421579
TS-3C20,rna1-1,27,0.7836758542901374,1.0941796867304965,-0.48146848963850325,-1.166451829286374
TS-2I18,pkc1-1,33,0.8021157475309669,1.207712162839254,-0.5903339145981051,-1.1633961125496648
TS-1E3,cdc42-1,30,0.7257752148583199,1.1879142838893786,-0.710758721166546,-1.1632454545599242
TS-5G2,rsc8-ts16,30,0.5991141528280799,0.9789270832785033,-0.7082770711336522,-1.158302312198122
TS-1D6,spc24 10-1,30,0.7249095768176286,1.182720875493488,-0.7061596535281117,-1.154084676139516
TS-4L3,tel2-15,30,0.5800046381097449,0.9452289957226883,-0.7045033528531965,-1.1507855284266906
TS-5B14,yip1-4,27,0.7548736469907915,1.0490969899171236,-0.47478738180744545,-1.1461379521655957
TS-3F16,erg8-1,33,0.9702734730026523,1.4563452516973916,-0.5858394537624482,-1.1458606977741839
TS-3D11,kar2-159,27,0.6323946192650344,0.8769360319573104,-0.4715829086394608,-1.1363947664818277
TS-3I11,stu1-12,23,0.4648810890875631,0.6591550598971789,-0.5036646964691985,-1.1350340744400682
TS-2O9,spc25-1,23,0.8215855516458044,1.1646547085105727,-0.5033678585006384,-1.1342991957785047
TS-1F5,act1-122,23,0.652829392556071,0.9244709414272473,-0.5018570325434826,-1.1305588597203002
TS-2N15,slu7-ts1,27,0.6251933069929629,0.8632876689022042,-0.46547541302018236,-1.1178249546088659
