A,n_a,P_a_est,ci95_a,Q,n_qa,P_qa_est,ci95_qa,P_q_diff,P_q_diff_ci95,P_q_diff_upr,P_q_diff_lwr
psy4,68,0.9968403735931517,0.019738242511319164,tdp1,4,1.0441868529116902,0.13729663907954393,0.047346479318538526,0.13870820206452894,0.18605468138306747,-0.09136172274599041
psy4,68,0.9968403735931517,0.019738242511319164,top3,8,0.940123551169693,0.08418281239576739,-0.05671682242345866,0.08646585522792576,0.0297490328044671,-0.14318267765138443
psy4,68,0.9968403735931517,0.019738242511319164,trm10,2,1.100662595051296,0.1747240862350657,0.10382222145814435,0.1758354473026253,0.27965766876076964,-0.07201322584448094
psy4,68,0.9968403735931517,0.019738242511319164,ubc13,4,0.9612144595340621,0.09739193793247812,-0.03562591405908955,0.09937196683008401,0.06374605277099446,-0.13499788088917355
psy4,68,0.9968403735931517,0.019738242511319164,vps41,3,1.0419539840061394,0.13806058712767139,0.04511361041298767,0.13946441816991526,0.18457802858290293,-0.09435080775692758
psy4,68,0.9968403735931517,0.019738242511319164,wss1,4,0.9829781444751224,0.07568815518258049,-0.013862229118029257,0.07821953114394149,0.06435730202591224,-0.09208176026197075
psy4,68,0.9968403735931517,0.019738242511319164,xrs2,3,1.1270636901658804,0.36542134564578505,0.13022331657272868,0.36595403819470546,0.49617735476743413,-0.23573072162197678
psy4,68,0.9968403735931517,0.019738242511319164,yku70,6,1.0091370209584785,0.1021893271122646,0.012296647365326763,0.10407812831278752,0.11637477567811429,-0.09178148094746076
psy4,68,0.9968403735931517,0.019738242511319164,yps1,4,1.054897041331842,0.04429562437432738,0.058056667738690226,0.048494335299570326,0.10655100303826055,0.0095623324391199
ptc2,65,0.9762826211570537,0.014622348118778926,asf1,6,0.9008300625133134,0.07954912691181251,-0.07545255864374023,0.08088186853021147,0.005429309886471237,-0.15633442717395168
ptc2,65,0.9762826211570537,0.014622348118778926,chc1,2,NA,NA,NA,NA,NA,NA
ptc2,65,0.9762826211570537,0.014622348118778926,csm2,4,0.9471149962548928,0.07749643390294512,-0.02916762490216085,0.07886387216070677,0.04969624725854592,-0.10803149706286762
ptc2,65,0.9762826211570537,0.014622348118778926,csm3,6,0.9916164174208337,0.03669671508780471,0.015333796263780064,0.039502682981568116,0.05483647924534818,-0.024168886717788052
ptc2,65,0.9762826211570537,0.014622348118778926,ctf18,4,0.759781773575623,0.17642885022612187,-0.21650084758143062,0.17703376021713513,-0.039467087364295494,-0.39353460779856575
ptc2,65,0.9762826211570537,0.014622348118778926,ctf4,6,0.9002240564274172,0.07754695275462038,-0.07605856472963646,0.07891351561066129,0.0028549508810248314,-0.15497208034029775
ptc2,65,0.9762826211570537,0.014622348118778926,ctf8,2,1.0033842930828039,0.16452857157284698,0.027101671925750193,0.1651770684093533,0.1922787403351035,-0.13807539648360312
ptc2,65,0.9762826211570537,0.014622348118778926,dcc1,5,0.8147674868234732,0.3655228033629529,-0.16151513433358045,0.3658151621281145,0.20430002779453404,-0.5273302964616949
ptc2,65,0.9762826211570537,0.014622348118778926,ddc1,5,0.9387906974393533,0.09493123266641161,-0.03749192371770038,0.09605077823771722,0.05855885452001684,-0.13354270195541762
ptc2,65,0.9762826211570537,0.014622348118778926,dhh1,3,NA,NA,NA,NA,NA,NA
ptc2,65,0.9762826211570537,0.014622348118778926,dia2,5,0.4875644149618792,0.214064110115094,-0.4887182061951745,0.21456294252240726,-0.2741552636727672,-0.7032811487175817
ptc2,65,0.9762826211570537,0.014622348118778926,erg2,3,1.1533614342820546,0.36914188335392767,0.17707881312500096,0.3694313780806816,0.5465101912056826,-0.19235256495568065
ptc2,65,0.9762826211570537,0.014622348118778926,esc2,4,0.9539915265969752,0.07983647509205617,-0.022291094560078495,0.08116449851770947,0.05887340395763098,-0.10345559307778797
ptc2,65,0.9762826211570537,0.014622348118778926,exo1,10,1.0025816313463338,0.04025338329374749,0.02629901018928016,0.04282695332498107,0.06912596351426123,-0.016527943135700912
