orf,gene,alleles,MATa_hit,TS_hit,tSNE1,tSNE2
YIL055C,yil055c,yil055c,FALSE,FALSE,16.61529043052501,-4.217230781496572
YIL058W,yil058w,yil058w,FALSE,FALSE,-4.241948488962881,-12.110890808362768
YIL059C,yil059c,yil059c,FALSE,FALSE,-8.850710698706019,3.593244317819522
YIL067C,yil067c,yil067c,FALSE,FALSE,-7.350826508680514,-18.941464595537717
YIL077C,yil077c,yil077c,FALSE,FALSE,-14.94478853754798,-15.871836281701656
YIL086C,yil086c,yil086c,FALSE,FALSE,-12.314684099915969,-22.916282987999054
YIL089W,yil089w,yil089w,FALSE,FALSE,11.652160683082347,-8.521526572915686
YIL092W,yil092w,yil092w,FALSE,FALSE,8.613162966769705,-2.6730910515725443
YIL100W,yil100w,yil100w,FALSE,FALSE,-13.4259289814464,3.046614480587741
YIL102C,yil102c,yil102c,FALSE,FALSE,-22.26007694566058,-3.649187934275978
YIL108W,yil108w,yil108w,FALSE,FALSE,20.55492726395349,0.748615325022437
YIL141W,yil141w,yil141w,FALSE,FALSE,-5.612944158955668,-8.571316018041312
YIL152W,yil152w,yil152w,FALSE,FALSE,-15.199270279895291,-12.495334016144101
YIL161W,yil161w,yil161w,FALSE,FALSE,3.258595674740371,-3.84561791846256
YIL163C,yil163c,yil163c,FALSE,FALSE,8.808907848095233,0.7249571658008406
YIL165C,yil165c,yil165c,FALSE,FALSE,-2.6511544121496233,20.914268088386898
YIL166C,yil166c,yil166c,FALSE,FALSE,-12.467746499223976,-20.777018322628123
YIL168W,yil168w,yil168w,FALSE,FALSE,-20.711881759432586,-12.478936266709983
YMR152W,yim1,yim1,FALSE,FALSE,-11.387758910518542,-0.27970470642272466
YGR172C,yip1,yip1-4 | yip1-40 | yip1-5001,FALSE,FALSE,-15.16914924079958,13.692887684757517
YNL044W,yip3,yip3,FALSE,FALSE,6.238064179490901,-2.3360177086062746
YGL198W,yip4,yip4,FALSE,FALSE,0.43524611841536,4.37667573592503
YGL161C,yip5,yip5,FALSE,FALSE,-10.25740643553584,-2.913605429036949
YIR014W,yir014w,yir014w,FALSE,FALSE,-10.506515935665087,-25.595255548577487
YIR016W,yir016w,yir016w,FALSE,FALSE,-14.748709195215756,-21.418341804596807
YIR020C,yir020c,yir020c,FALSE,FALSE,9.654786646006857,0.1020516548797231
YIR035C,yir035c,yir035c,FALSE,FALSE,-10.199095403169292,2.499179937755492
YIR042C,yir042c,yir042c,FALSE,FALSE,14.542744522490235,6.685461692019844
YIR043C,yir043c,yir043c,FALSE,FALSE,-4.197676942291858,-12.064632404452142
YIR044C,yir044c,yir044c,FALSE,FALSE,-0.8820255403746905,6.363124297931917
YJL007C,yjl007c,yjl007c,FALSE,FALSE,-14.064246021008948,-23.162553767321388
YJL016W,yjl016w,yjl016w,FALSE,FALSE,-0.7336486441789889,6.29586275947423
YJL022W,yjl022w,yjl022w,FALSE,FALSE,-10.520677452991244,4.775666119771469
YJL027C,yjl027c,yjl027c,FALSE,FALSE,1.886851648775706,-1.727244531616114
YJL028W,yjl028w,yjl028w,FALSE,FALSE,-8.133357798654666,3.331042717959252
YJL043W,yjl043w,yjl043w,FALSE,FALSE,-8.13382291194912,16.83014200835678
YJL045W,yjl045w,yjl045w-supp1,FALSE,FALSE,0.867318536310503,3.059034649537892
YJL055W,yjl055w,yjl055w,FALSE,FALSE,-8.080249026590204,3.0553668225700497
YJL064W,yjl064w,yjl064w,FALSE,FALSE,-7.440013293141866,-19.01640655716875
YJL067W,yjl067w,yjl067w,FALSE,FALSE,8.946566327098859,0.9250559919149953
YJL068C,yjl068c,yjl068c,FALSE,FALSE,-6.956602266589034,7.814034542114923
YJL070C,yjl070c,yjl070c,FALSE,FALSE,19.823187911093356,0.29040689115366464
YJL107C,yjl107c,yjl107c,FALSE,FALSE,12.100922827378637,-18.287949500497334
YJL118W,yjl118w,yjl118w,FALSE,FALSE,4.018252989257677,9.416718848290499
YJL120W,yjl120w,yjl120w,FALSE,FALSE,-10.098690886084277,0.020510661904305255
YJL132W,yjl132w,yjl132w,FALSE,FALSE,8.400847417121039,-4.1937366825841975
YJL135W,yjl135w,yjl135w,FALSE,FALSE,-11.343458541589383,-22.151633742030377
YJL144W,yjl144w,yjl144w,FALSE,FALSE,9.782112353643258,12.707421022807614
YJL150W,yjl150w,yjl150w,FALSE,FALSE,-3.508086700666459,-18.014491450767864
YJL152W,yjl152w,yjl152w,FALSE,FALSE,15.895367187198715,4.235563581568007
YJL163C,yjl163c,yjl163c,FALSE,FALSE,4.5716260979334455,18.33048031440001
YJL169W,yjl169w,yjl169w,FALSE,FALSE,24.435323224090062,10.575684892952726
YJL171C,yjl171c,yjl171c,FALSE,FALSE,5.262404350500853,8.555249854433306
YJL175W,yjl175w,yjl175w,FALSE,FALSE,8.10588260634569,5.230734781387608
YJL181W,yjl181w,yjl181w,FALSE,FALSE,5.842064063051909,-11.33357110740205
YJL182C,yjl182c,yjl182c,FALSE,FALSE,-12.674004619880327,-22.935302617615367
YJL193W,yjl193w,yjl193w,FALSE,FALSE,-13.593104311347584,-15.250078366397386
YJL206C,yjl206c,yjl206c,FALSE,FALSE,-15.369803795273338,-14.873162018593534
YJL211C,yjl211c,yjl211c,FALSE,FALSE,-31.62485712845856,-12.552223234609222
YJL213W,yjl213w,yjl213w,FALSE,FALSE,-14.679127932577916,-21.914328109610064
YJL215C,yjl215c,yjl215c,FALSE,FALSE,-12.91082629136083,-22.944713500881804
YJL218W,yjl218w,yjl218w,FALSE,FALSE,15.943718584895183,-7.898151303111321
YJR011C,yjr011c,yjr011c,FALSE,FALSE,-1.2930444767849498,-11.519879198128693
YJR015W,yjr015w,yjr015w,FALSE,FALSE,-26.637073813088346,-9.334036793201756
YJR020W,yjr020w,yjr020w,FALSE,FALSE,-11.541657585870858,-21.203006742073402
YJR030C,yjr030c,yjr030c,FALSE,FALSE,-3.045136360786101,-17.100472635965833
YJR037W,yjr037w,yjr037w,FALSE,FALSE,-12.394027261216403,7.003260156289679
YJR038C,yjr038c,yjr038c,FALSE,FALSE,-4.117011015728092,-0.9296511162228024
YJR039W,yjr039w,yjr039w,FALSE,FALSE,-9.205512619034296,-18.68812334725395
YJR056C,yjr056c,yjr056c,FALSE,FALSE,11.20724031685334,-16.07217012142163
YJR061W,yjr061w,yjr061w,FALSE,FALSE,1.8079717177391765,19.5010721604578
