A,n_a,P_a_est,ci95_a,C,n_ac,P_ac_est,ci95_ac,P_c_diff,P_c_diff_ci95,P_c_diff_upr,P_c_diff_lwr
sic1,68,0.5149330192459809,0.08269222349421185,50,9,0.6025294692888317,0.28000164108009923,0.08759645004285077,0.29195705648941833,0.3795535065322691,-0.20436060644656756
sic1,68,0.5149330192459809,0.08269222349421185,60,13,0.5396764599265926,0.2333548407535304,0.02474344068061174,0.24757319226750343,0.27231663294811514,-0.2228297515868917
sic1,68,0.5149330192459809,0.08269222349421185,80,39,0.34121799549065457,0.11507429427856371,-0.17371502375532633,0.14170425904017905,-0.03201076471514727,-0.31541928279550535
sic1,68,0.5149330192459809,0.08269222349421185,100,5,0.5528439280647043,0.6043237698135259,0.03791090881872339,0.6099550988294533,0.6478660076481767,-0.5720441900107299
sic1,68,0.5149330192459809,0.08269222349421185,125,4,NA,NA,NA,NA,NA,NA
sin3,68,0.042508364730041624,0.06312258013060658,2.5,4,0.002308809074332695,0.0036903806038829975,-0.04019955565570893,0.06323036478897116,0.023030809133262234,-0.10342992044468009
sin3,68,0.042508364730041624,0.06312258013060658,5,29,0.0795382605725702,0.12382794144179712,0.037029895842528575,0.13898855781703034,0.17601845365955893,-0.10195866197450176
sin3,68,0.042508364730041624,0.06312258013060658,10,39,0.045733055977842274,0.09627583585549239,0.00322469124780065,0.11512383198981244,0.11834852323761308,-0.1118991407420118
sin3,68,0.042508364730041624,0.06312258013060658,20,4,0,0,-0.042508364730041624,0.06312258013060658,0.020614215400564954,-0.1056309448606482
sin3,68,0.042508364730041624,0.06312258013060658,25,62,0.03047458533227207,0.06842482224925076,-0.012033779397769555,0.09309358958696572,0.08105981018919617,-0.10512736898473526
sin3,68,0.042508364730041624,0.06312258013060658,30,4,2.3576501571105825e-5,7.503095031648126e-5,-0.042484788228470516,0.06312262472353597,0.020637836495065454,-0.10560741295200649
sin3,68,0.042508364730041624,0.06312258013060658,35,12,0.23627688375050093,0.3198165291200781,0.1937685190204593,0.325986307106232,0.5197548261266913,-0.1322177880857727
sin3,68,0.042508364730041624,0.06312258013060658,40,31,0.02333669744777592,0.10966508961966207,-0.019171667282265704,0.12653415350660613,0.10736248622434043,-0.14570582078887184
