strain_id,strain_name,size,control_size,log2_ratio,z
rec1971,zwf1,0.26057248310845116,0.5835519929013332,-1.1631764609460962,-1.7031015160509058
rec858,scs7,0.34271406340905586,0.7653941848542479,-1.1591975454114354,-1.695343396013533
rec3058,hek2,0.5056499765335434,1.1237674718090647,-1.1521325800566644,-1.6815680723594542
rec3423,dcc1,0.5459097008734981,1.2124328203614505,-1.1511705720169914,-1.6796923417027747
rec1967,sps100,0.5330500942945021,1.1802440091331958,-1.1467421357011183,-1.6710577425972841
rec6897,mir1,0.6459329240126533,1.4289003517332692,-1.1454490464728202,-1.6685364672988312
rec5730,mrpl27,0.45201113108819396,0.9962279936007298,-1.1401176502771464,-1.658141270091822
rec1727,yol036w,0.39825009500701314,0.8751959063110718,-1.1359312840843494,-1.6499786611695677
rec6409,snf6,0.10124457240062297,0.22225724486997325,-1.1343858781011629,-1.6469654167265546
rec5305,vps33,0.3852720071657185,0.8430079042565723,-1.1296687908667862,-1.637768003845516
rec6109,swi4,0.6625006422115433,1.448616525114209,-1.1286819798835561,-1.6358439122191906
rec3140,rcr1,0.5244652987418529,1.1446984548502521,-1.1260483775763592,-1.6307088942345283
rec6537,mtg1,0.3995741892964333,0.8688520800852779,-1.1206471881874582,-1.6201776137238824
rec3881,ydl183c,0.6021649849811597,1.3091030702169193,-1.1203479651362485,-1.6195941863228702
rec3888,ufd2,0.5234338691478682,1.1379369228047735,-1.120341406469167,-1.619581398183474
rec1790,rts1,0.41054959451401274,0.8914351074521025,-1.1185732693071126,-1.6161338707790183
rec6848,isy1,0.5054369815649113,1.094346910697763,-1.114467016897863,-1.6081274683265905
rec3214,slm4,0.33447366778512017,0.7216064699017415,-1.1093196379854706,-1.5980910694303805
rec253,vac8,0.2785914628563033,0.60065576838684,-1.108387380603087,-1.5962733468335435
rec1732,nop12,0.36783024245139523,0.7926773990365878,-1.1076937417445587,-1.5949208844652998
rec3246,iml3,0.5101301012739228,1.09883903712482,-1.107042931775866,-1.5936519301950587
rec5579,mms1,0.744543726415118,1.6009564465512458,-1.104505575732577,-1.5887045739142052
rec842,cox7,0.34871347203527836,0.7492627520658335,-1.103429631268347,-1.5866066891427568
rec2269,hpm1,0.6207940227363398,1.3337989703815487,-1.1033546686837419,-1.58646052652015
rec6499,yml100w-a,0.5544165615342411,1.190387511981048,-1.1023890373072525,-1.584577731053546
rec4838,ser2,0.08630724605328974,0.1852288803745023,-1.1017554639439542,-1.5833423848487493
rec7032,mst1,0.33366849069713783,0.7131994178217013,-1.0958900703133154,-1.5719059953459955
rec3141,uga2,0.5650377542532152,1.2075447056693707,-1.0956574287086709,-1.5714523889603367
rec4857,lac1,0.5671264658825856,1.2114093031860238,-1.0949440072169745,-1.5700613542621613
rec7513,yhr086w-a,0.5945247302637459,1.2682256458016892,-1.0930027284604817,-1.5662762340484555
