from,to,any_sig,EMAP_diff
apn1,rad1,FALSE,-0.13284733366151802
apn1,rad10,TRUE,-0.27489831035471857
apn1,rad14,FALSE,-0.22290672689738966
apn1,rad18,TRUE,-0.6398360281237263
apn1,rad2,FALSE,0.081652979652587665
apn1,rad23,FALSE,-0.2543924908747316
apn1,rad28,FALSE,-0.3417007680905065
apn1,rad4,FALSE,-0.1206368805414646
apn1,rad5,TRUE,-0.6369303291704673
apn1,rad50,FALSE,-0.06789814417245743
apn1,rad51,FALSE,-0.07485222777259504
apn1,rad52,FALSE,-0.35575865113094124
apn1,rad54,FALSE,-0.30038488732063845
apn1,rad55,FALSE,-0.04294942171287264
apn1,rad57,FALSE,-0.29976182615723185
apn1,rad61,FALSE,-0.1262141976413268
apn1,rdh54,FALSE,-0.029127616190511074
apn1,rev1,FALSE,-0.21108269512957445
apn1,rev3,FALSE,-0.011215028729308352
apn1,rev7,FALSE,-0.04265841884421073
apn1,rph1,TRUE,-0.6864329815085244
apn1,rrm3,FALSE,0.08895784566354359
apn1,rtt101,FALSE,-0.227300411420023
apn1,rtt107,FALSE,0.21598591708499948
apn1,rtt109,FALSE,0.08388672413459275
apn1,saw1,FALSE,-0.2201337379402808
apn1,sgs1,FALSE,-0.19505803236459252
apn1,shu1,FALSE,-0.1686637109867244
apn1,shu2,FALSE,0.01294520567261126
apn1,sin4,FALSE,-0.2238144280891573
apn1,siz1,FALSE,-0.10426131278010553
apn1,sky1,FALSE,-0.49850440553351394
apn1,slx4,FALSE,-0.05553354425066015
apn1,slx5,TRUE,-0.10896208760627923
apn1,slx8,FALSE,-0.06617656910888037
apn1,snf2,TRUE,-0.7910070978489013
apn1,sod1,FALSE,-0.02672635531546408
apn1,srs2,FALSE,-0.18722694014204722
apn1,swi4,FALSE,-0.07439003645146502
apn1,tdp1,FALSE,-0.37909249067894657
apn1,top3,FALSE,-0.18340267705626645
apn1,trm10,FALSE,0.1206138138535996
apn1,ubc13,FALSE,0.10140180373792795
apn1,vps41,FALSE,-0.1770050820025003
apn1,wss1,FALSE,0.10619910723448456
apn1,xrs2,FALSE,-0.22822117157076027
apn1,yku70,FALSE,-0.33841717649574776
apn1,yps1,FALSE,-0.11494240103553321
apq12,asf1,TRUE,-0.25855883793479106
apq12,csm2,FALSE,-0.08330810886099471
apq12,csm3,FALSE,-0.04415531482403823
apq12,ctf18,FALSE,0.13127916982905952
apq12,ctf4,TRUE,-0.3766113440055616
apq12,ctf8,FALSE,0.2948296530662555
apq12,dbf2,FALSE,0.166587163513074
apq12,dcc1,TRUE,-0.3446838851546991
apq12,ddc1,FALSE,-0.05901753929189202
apq12,dia2,TRUE,-0.34142052402421935
apq12,erg2,FALSE,-0.2826866378807986
apq12,esc2,TRUE,-0.0684314763113748
apq12,exo1,FALSE,0.028319490062436503
apq12,gpx2,TRUE,-0.11837574577244908
apq12,hpc2,TRUE,-0.0636141401497301
apq12,hrq1,FALSE,-0.054246492990336126
apq12,ina1,FALSE,-0.13165387656492555
apq12,irc21,FALSE,0.03567053582466895
apq12,mlh1,FALSE,-0.1360471358850971
apq12,mlh3,FALSE,-0.0038095594514905295
apq12,mms1,FALSE,-0.1057517074388169
apq12,mms2,FALSE,-0.03532264960951825
apq12,mms22,FALSE,-0.2857455864709496
apq12,mph1,TRUE,-0.11650508806286808
apq12,mre11,TRUE,-0.2824431168210049
apq12,mus81,FALSE,-0.004780118121305299
apq12,nup84,TRUE,-0.193554190832756
apq12,pif1,TRUE,0.14978331770839493
apq12,pol30-RR,FALSE,-0.1015666001015395
apq12,pol32,TRUE,-0.43321899057504826
apq12,pso2,FALSE,-0.07429672919635177
apq12,psy2,TRUE,-0.0998474169000293
apq12,psy4,FALSE,-0.033719316600118954
apq12,rad1,FALSE,-0.0129253119227829
apq12,rad10,FALSE,-0.020570414946191162
apq12,rad14,FALSE,-0.05052860830106898
apq12,rad18,FALSE,-0.054476477528476175
apq12,rad2,FALSE,0.03401116346024058
apq12,rad23,FALSE,0.006866166290400155
apq12,rad27,FALSE,-0.07635829449679765
apq12,rad28,FALSE,-0.008989594340536478
apq12,rad4,FALSE,-0.08464589779260412
